Location Type,Item ID,Original Text,Entity Type,Start Offset,End Offset,Review (TP/FP/FN)
Body Paragraph,754,the Bid cum Application Forms and the Revision Forms,ORG,149,201,TP
Body Paragraph,754,Financial Express,ORG,370,387,TP
Body Paragraph,754,daily,DATE_TIME,426,431,TP
Body Paragraph,754,Hindi,ORG,490,495,TP
Body Paragraph,754,daily,DATE_TIME,505,510,TP
Body Paragraph,754,Pune,ORG,526,530,TP
Body Paragraph,754,Loksatta,ORG,542,550,TP
Body Paragraph,754,Marathi,ORG,572,579,TP
Body Paragraph,754,Marathi,ORG,591,598,TP
Body Paragraph,754,Maharashtra,ORG,630,641,TP
Body Paragraph,754,Working Days,DATE_TIME,697,709,TP
Body Paragraph,754,the Book Building Process,ORG,869,894,TP
Body Paragraph,755,Anchor Investors,ORG,23,39,TP
Body Paragraph,755,ASBA,ORG,75,79,TP
Body Paragraph,755,ASBA Account,ORG,133,145,TP
Body Paragraph,755,SCSBs,ORG,207,212,TP
Body Paragraph,755,UPI,ORG,231,234,TP
Body Paragraph,755,the UPI Mechanism,ORG,253,270,TP
Body Paragraph,755,the Retail Individual Investors,ORG,293,324,TP
Body Paragraph,755,ASBA,ORG,355,359,TP
Body Paragraph,755,ASBA Account,ORG,413,425,TP
Body Paragraph,756,SCSBs,ORG,4,9,TP
Body Paragraph,756,the UPI Mechanism,ORG,22,39,TP
Body Paragraph,756,Non-Institutional Investors,ORG,41,68,TP
Body Paragraph,756,UPI,ORG,174,177,TP
Body Paragraph,756,Syndicate,ORG,228,237,TP
Body Paragraph,756,Registrar,ORG,306,315,TP
Body Paragraph,756,Share Transfer Agents,ORG,320,341,TP
Body Paragraph,756,ASBA,ORG,418,422,TP
Body Paragraph,757,Non-Institutional Investors,ORG,55,82,TP
Body Paragraph,757,Retail Individual Investors,ORG,225,252,TP
Body Paragraph,757,Anchor Investors,ORG,372,388,TP
Body Paragraph,757,Anchor Investors,ORG,558,574,TP
Body Paragraph,757,Life Insurance Companies and Pension Funds,ORG,820,862,TP
Body Paragraph,757,Life Insurance Companies and Pension Funds,ORG,929,971,TP
Body Paragraph,757,the Life Insurance Companies and Pension Funds,ORG,1064,1110,TP
Body Paragraph,757,the SEBI ICDR Regulations,ORG,1206,1231,TP
Body Paragraph,759,the SEBI ICDR Regulations,ORG,29,54,TP
Body Paragraph,759,SEBI,ORG,90,94,TP
Body Paragraph,759,the Promoter Selling Shareholders,ORG,130,163,TP
Body Paragraph,759,the SEBI ICDR Regulations,ORG,244,269,TP
Body Paragraph,759,SEBI,ORG,305,309,TP
Body Paragraph,759,the Promoter Selling Shareholders,ORG,414,447,TP
Body Paragraph,759,the Book Running Lead Managers,ORG,463,493,TP
Body Paragraph,760,The Book Building Process,ORG,0,25,TP
Body Paragraph,761,Offer,ORG,29,34,TP
Body Paragraph,761,Prospectus,ORG,72,82,TP
Body Paragraph,761,RoC,LOCATION,107,110,TP
Body Paragraph,761,the Stock Exchanges,ORG,184,203,TP
Body Paragraph,761,Allotment,ORG,245,254,TP
Body Paragraph,764,the Offer Price,ORG,27,42,TP
Body Paragraph,764,Prospectus,ORG,106,116,TP
Body Paragraph,764,RoC,LOCATION,126,129,TP
Body Paragraph,764,the Promoter Selling Shareholders,ORG,147,180,TP
Body Paragraph,764,BRLM,ORG,388,392,TP
Body Paragraph,765,The Underwriting Agreement,ORG,0,26,TP
Body Paragraph,766,Prospectus,ORG,187,197,TP
Body Paragraph,766,RoC,LOCATION,207,210,TP
Body Paragraph,770,the Offer Price,ORG,103,118,TP
Body Paragraph,770,Basis of Allotment,ORG,123,141,TP
Body Paragraph,770,the SEBI ICDR Regulations,ORG,185,210,TP
Body Paragraph,771,our Board of Directors,ORG,18,40,TP
Body Paragraph,771,SEBI,ORG,293,297,TP
Body Paragraph,771,the Stock Exchange(s,ORG,364,384,TP
Body Paragraph,779,the last 10 years,DATE_TIME,94,111,TP
Body Paragraph,779,our Memorandum of Association,ORG,173,202,TP
Body Paragraph,779,the last 10 years,DATE_TIME,206,223,TP
Body Paragraph,780,Offer,ORG,9,14,TP
Body Paragraph,780,Board,ORG,40,45,TP
Body Paragraph,780,"May 6, 2025",DATE,103,114,TP
Body Paragraph,780,"May 6, 2025",DATE,233,244,TP
Body Paragraph,780,Board,ORG,259,264,TP
Body Paragraph,780,the Promoter Selling Shareholders,ORG,301,334,TP
Body Paragraph,780,the Offer for Sale,ORG,353,371,TP
Body Paragraph,780,"May 6, 2025",DATE,405,416,TP
Body Paragraph,780,IPO Committee,ORG,421,434,TP
Body Paragraph,780,the Promoter Selling Shareholders,ORG,483,516,TP
Body Paragraph,780,"May 22, 2025",DATE,551,563,TP
Body Paragraph,780,"December 6, 2025",DATE,568,584,TP
Body Paragraph,781,the Promoter Selling Shareholders,ORG,12,45,TP
Body Paragraph,781,the Offer for Sale,ORG,107,125,TP
Body Paragraph,781,the Promoter Selling Shareholders,ORG,135,168,TP
Body Paragraph,781,at least one year,DATE_TIME,296,313,TP
Body Paragraph,781,the Draft Red Herring Prospectus,ORG,337,369,TP
Body Paragraph,781,Offer,ORG,433,438,TP
Body Paragraph,781,the SEBI ICDR Regulations,ORG,454,479,TP
Body Paragraph,781,the Promoter Selling Shareholders,ORG,498,531,TP
Body Paragraph,781,the Promoter Selling Shareholders,ORG,756,789,TP
Table_0_Row_0_Col_1_Para_0,0,"RED HERRING PROSPECTUS 
	",ORG,0,25,TP
Table_0_Row_0_Col_1_Para_0,0,"December 10, 2025",DATE,31,48,TP
Table_0_Row_0_Col_1_Para_0,0,2013,DATE_TIME,94,98,TP
Table_1_Row_0_Col_1_Para_0,0,"TE 
OFFICE",ORG,9,19,TP
Table_1_Row_1_Col_0_Para_0,0,Birdewadi Chakan,PERSON,28,44,TP
Table_1_Row_1_Col_0_Para_0,0,Khed Pune,LOCATION,55,64,TP
Table_1_Row_1_Col_0_Para_0,0,Maharashtra,LOCATION,77,88,TP
Table_1_Row_1_Col_0_Para_0,0,India,LOCATION,90,95,TP
Table_1_Row_1_Col_1_Para_0,0,"Montreal Business 
Centre",ORG,15,40,TP
Table_1_Row_1_Col_1_Para_0,0,"Off Pallod 
Farms",ORG,42,59,TP
Table_1_Row_1_Col_1_Para_0,0,Baner Pune,LOCATION,61,71,TP
Table_1_Row_1_Col_1_Para_0,0,411 045,POSTAL_CODE,74,81,TP
Table_1_Row_1_Col_1_Para_0,0,Maharashtra,LOCATION,83,94,TP
Table_1_Row_1_Col_1_Para_0,0,India,LOCATION,96,101,TP
Table_1_Row_1_Col_2_Para_0,0,Sarthak Malvadkar Company,ORG,0,25,TP
Table_1_Row_1_Col_3_Para_0,0,Sarthak Malvadkar Company,ORG,0,25,TP
Table_1_Row_1_Col_4_Para_0,0,Email,PERSON,0,5,TP
Table_1_Row_1_Col_5_Para_0,0,Email,PERSON,0,5,TP
Table_1_Row_2_Col_0_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_0_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_0_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_0_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_0_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_0_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_0_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_0_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_0_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_0_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_1_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_1_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_1_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_1_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_1_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_1_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_1_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_1_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_1_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_1_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_2_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_2_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_2_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_2_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_2_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_2_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_2_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_2_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_2_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_2_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_3_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_3_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_3_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_3_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_3_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_3_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_3_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_3_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_3_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_3_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_4_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_4_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_4_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_4_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_4_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_4_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_4_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_4_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_4_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_4_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_5_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_5_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_5_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_5_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_5_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_5_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_5_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_5_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_5_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_5_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_2_Col_6_Para_0,0,PUSHPA KUSHAL HEGDE,PERSON,38,57,TP
Table_1_Row_2_Col_6_Para_0,0,RAJESH KUSHAL HEGDE,PERSON,59,78,TP
Table_1_Row_2_Col_6_Para_0,0,ROHIT KUSHAL HEGDE,PERSON,80,98,TP
Table_1_Row_2_Col_6_Para_0,0,DHAULAGIRI FAMILY TRUST,ORG,121,144,TP
Table_1_Row_2_Col_6_Para_0,0,EVEREST FAMILY TRUST,ORG,146,166,TP
Table_1_Row_2_Col_6_Para_0,0,MAKALU FAMILY TRUST,ORG,168,187,TP
Table_1_Row_2_Col_6_Para_0,0,BROAD FAMILY TRUST,ORG,189,207,TP
Table_1_Row_2_Col_6_Para_0,0,ANNAPURNA FAMILY TRUST,ORG,209,231,TP
Table_1_Row_2_Col_6_Para_0,0,KANCHENJUNGA FAMILY TRUST,ORG,233,258,TP
Table_1_Row_2_Col_6_Para_0,0,WATERLOO INDUSTRIAL PARK VI PRIVATE LIMITED,ORG,265,308,TP
Table_1_Row_3_Col_0_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_1_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_2_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_3_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_4_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_5_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_3_Col_6_Para_0,0,THE OFFER TO PUBLIC,ORG,11,30,TP
Table_1_Row_5_Col_1_Para_2,2,"₹4,200.00 million",ORG,0,17,TP
Table_1_Row_5_Col_5_Para_0,0,the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations,ORG,55,156,TP
Table_1_Row_5_Col_5_Para_0,0,2018,DATE_TIME,158,162,TP
Table_1_Row_5_Col_5_Para_0,0,Qualified Institutional Buyers,ORG,340,370,TP
Table_1_Row_5_Col_5_Para_0,0,Non-Institutional Investors,ORG,372,399,TP
Table_1_Row_5_Col_5_Para_0,0,"Retail Individual 
Investors",ORG,404,432,TP
Table_1_Row_5_Col_6_Para_0,0,the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations,ORG,55,156,TP
Table_1_Row_5_Col_6_Para_0,0,2018,DATE_TIME,158,162,TP
Table_1_Row_5_Col_6_Para_0,0,Qualified Institutional Buyers,ORG,340,370,TP
Table_1_Row_5_Col_6_Para_0,0,Non-Institutional Investors,ORG,372,399,TP
Table_1_Row_5_Col_6_Para_0,0,"Retail Individual 
Investors",ORG,404,432,TP
Table_1_Row_7_Col_5_Para_1,1,₹,ORG,29,30,TP
Table_1_Row_7_Col_6_Para_1,1,₹,ORG,29,30,TP
Table_1_Row_8_Col_0_Para_0,0,Kushal Subbayya Hegde,ORG,0,21,TP
Table_1_Row_9_Col_0_Para_0,0,Pushpa Kushal Hegde,PERSON,0,19,TP
Table_1_Row_10_Col_0_Para_0,0,Rajesh Kushal Hegde,PERSON,0,19,TP
Table_2_Row_0_Col_0_Para_0,0,Rohit Kushal Hegde,PERSON,0,18,TP
Table_2_Row_1_Col_0_Para_1,1,Kirtane & Pandit LLP,ORG,16,36,TP
Table_2_Row_1_Col_0_Para_1,1,Chartered Accountants,ORG,38,59,TP
Table_2_Row_1_Col_0_Para_1,1,"December 10, 2025",DATE,119,136,TP
Table_2_Row_1_Col_0_Para_1,1,the Promoter Selling Shareholders,ORG,262,295,TP
Table_2_Row_1_Col_0_Para_2,2,Split of Equity Shares,ORG,16,38,TP
Table_2_Row_1_Col_0_Para_2,2,Bonus Issue,ORG,43,54,TP
Table_2_Row_1_Col_1_Para_1,1,Kirtane & Pandit LLP,ORG,16,36,TP
Table_2_Row_1_Col_1_Para_1,1,Chartered Accountants,ORG,38,59,TP
Table_2_Row_1_Col_1_Para_1,1,"December 10, 2025",DATE,119,136,TP
Table_2_Row_1_Col_1_Para_1,1,the Promoter Selling Shareholders,ORG,262,295,TP
Table_2_Row_1_Col_1_Para_2,2,Split of Equity Shares,ORG,16,38,TP
Table_2_Row_1_Col_1_Para_2,2,Bonus Issue,ORG,43,54,TP
Table_2_Row_1_Col_2_Para_1,1,Kirtane & Pandit LLP,ORG,16,36,TP
Table_2_Row_1_Col_2_Para_1,1,Chartered Accountants,ORG,38,59,TP
Table_2_Row_1_Col_2_Para_1,1,"December 10, 2025",DATE,119,136,TP
Table_2_Row_1_Col_2_Para_1,1,the Promoter Selling Shareholders,ORG,262,295,TP
Table_2_Row_1_Col_2_Para_2,2,Split of Equity Shares,ORG,16,38,TP
Table_2_Row_1_Col_2_Para_2,2,Bonus Issue,ORG,43,54,TP
Table_2_Row_1_Col_3_Para_1,1,Kirtane & Pandit LLP,ORG,16,36,TP
Table_2_Row_1_Col_3_Para_1,1,Chartered Accountants,ORG,38,59,TP
Table_2_Row_1_Col_3_Para_1,1,"December 10, 2025",DATE,119,136,TP
Table_2_Row_1_Col_3_Para_1,1,the Promoter Selling Shareholders,ORG,262,295,TP
Table_2_Row_1_Col_3_Para_2,2,Split of Equity Shares,ORG,16,38,TP
Table_2_Row_1_Col_3_Para_2,2,Bonus Issue,ORG,43,54,TP
Table_2_Row_3_Col_0_Para_1,1,The Floor Price,ORG,33,48,TP
Table_2_Row_3_Col_0_Para_1,1,Cap Price,PERSON,50,59,TP
Table_2_Row_3_Col_0_Para_1,1,the Book Running Lead Managers,ORG,128,158,TP
Table_2_Row_3_Col_0_Para_1,1,the SEBI ICDR Regulations,ORG,179,204,TP
Table_2_Row_3_Col_0_Para_1,1,the Book Building Process,LOCATION,290,315,TP
Table_2_Row_3_Col_1_Para_1,1,The Floor Price,ORG,33,48,TP
Table_2_Row_3_Col_1_Para_1,1,Cap Price,PERSON,50,59,TP
Table_2_Row_3_Col_1_Para_1,1,the Book Running Lead Managers,ORG,128,158,TP
Table_2_Row_3_Col_1_Para_1,1,the SEBI ICDR Regulations,ORG,179,204,TP
Table_2_Row_3_Col_1_Para_1,1,the Book Building Process,LOCATION,290,315,TP
Table_2_Row_3_Col_2_Para_1,1,The Floor Price,ORG,33,48,TP
Table_2_Row_3_Col_2_Para_1,1,Cap Price,PERSON,50,59,TP
Table_2_Row_3_Col_2_Para_1,1,the Book Running Lead Managers,ORG,128,158,TP
Table_2_Row_3_Col_2_Para_1,1,the SEBI ICDR Regulations,ORG,179,204,TP
Table_2_Row_3_Col_2_Para_1,1,the Book Building Process,LOCATION,290,315,TP
Table_2_Row_3_Col_3_Para_1,1,The Floor Price,ORG,33,48,TP
Table_2_Row_3_Col_3_Para_1,1,Cap Price,PERSON,50,59,TP
Table_2_Row_3_Col_3_Para_1,1,the Book Running Lead Managers,ORG,128,158,TP
Table_2_Row_3_Col_3_Para_1,1,the SEBI ICDR Regulations,ORG,179,204,TP
Table_2_Row_3_Col_3_Para_1,1,the Book Building Process,LOCATION,290,315,TP
Table_2_Row_5_Col_0_Para_0,0,Offer,ORG,412,417,TP
Table_2_Row_5_Col_0_Para_0,0,Offer,ORG,482,487,TP
Table_2_Row_5_Col_0_Para_0,0,the Securities and Exchange Board,ORG,529,562,TP
Table_2_Row_5_Col_1_Para_0,0,Offer,ORG,412,417,TP
Table_2_Row_5_Col_1_Para_0,0,Offer,ORG,482,487,TP
Table_2_Row_5_Col_1_Para_0,0,the Securities and Exchange Board,ORG,529,562,TP
Table_2_Row_5_Col_2_Para_0,0,Offer,ORG,412,417,TP
Table_2_Row_5_Col_2_Para_0,0,Offer,ORG,482,487,TP
Table_2_Row_5_Col_2_Para_0,0,the Securities and Exchange Board,ORG,529,562,TP
Table_2_Row_5_Col_3_Para_0,0,Offer,ORG,412,417,TP
Table_2_Row_5_Col_3_Para_0,0,Offer,ORG,482,487,TP
Table_2_Row_5_Col_3_Para_0,0,the Securities and Exchange Board,ORG,529,562,TP
Table_3_Row_0_Col_0_Para_0,0,India,LOCATION,0,5,TP
Table_3_Row_0_Col_0_Para_0,0,SEBI,ORG,25,29,TP
Table_3_Row_0_Col_1_Para_0,0,India,LOCATION,0,5,TP
Table_3_Row_0_Col_1_Para_0,0,SEBI,ORG,25,29,TP
Table_3_Row_0_Col_2_Para_0,0,India,LOCATION,0,5,TP
Table_3_Row_0_Col_2_Para_0,0,SEBI,ORG,25,29,TP
Table_3_Row_0_Col_3_Para_0,0,India,LOCATION,0,5,TP
Table_3_Row_0_Col_3_Para_0,0,SEBI,ORG,25,29,TP
Table_3_Row_0_Col_4_Para_0,0,India,LOCATION,0,5,TP
Table_3_Row_0_Col_4_Para_0,0,SEBI,ORG,25,29,TP
Table_3_Row_1_Col_0_Para_0,0,ISSUER,ORG,0,6,TP
Table_3_Row_1_Col_1_Para_0,0,ISSUER,ORG,0,6,TP
Table_3_Row_1_Col_2_Para_0,0,ISSUER,ORG,0,6,TP
Table_3_Row_1_Col_3_Para_0,0,ISSUER,ORG,0,6,TP
Table_3_Row_1_Col_4_Para_0,0,ISSUER,ORG,0,6,TP
Table_3_Row_2_Col_0_Para_0,0,Offer,ORG,184,189,TP
Table_3_Row_2_Col_0_Para_0,0,Offer,ORG,231,236,TP
Table_3_Row_2_Col_0_Para_0,0,the Promoter Selling Shareholders,ORG,685,718,TP
Table_3_Row_2_Col_0_Para_0,0,the Offer for Sale,ORG,987,1005,TP
Table_3_Row_2_Col_0_Para_0,0,the Promoter Selling Shareholders,ORG,1156,1189,TP
Table_3_Row_2_Col_1_Para_0,0,Offer,ORG,184,189,TP
Table_3_Row_2_Col_1_Para_0,0,Offer,ORG,231,236,TP
Table_3_Row_2_Col_1_Para_0,0,the Promoter Selling Shareholders,ORG,685,718,TP
Table_3_Row_2_Col_1_Para_0,0,the Offer for Sale,ORG,987,1005,TP
Table_3_Row_2_Col_1_Para_0,0,the Promoter Selling Shareholders,ORG,1156,1189,TP
Table_3_Row_2_Col_2_Para_0,0,Offer,ORG,184,189,TP
Table_3_Row_2_Col_2_Para_0,0,Offer,ORG,231,236,TP
Table_3_Row_2_Col_2_Para_0,0,the Promoter Selling Shareholders,ORG,685,718,TP
Table_3_Row_2_Col_2_Para_0,0,the Offer for Sale,ORG,987,1005,TP
Table_3_Row_2_Col_2_Para_0,0,the Promoter Selling Shareholders,ORG,1156,1189,TP
Table_3_Row_2_Col_3_Para_0,0,Offer,ORG,184,189,TP
Table_3_Row_2_Col_3_Para_0,0,Offer,ORG,231,236,TP
Table_3_Row_2_Col_3_Para_0,0,the Promoter Selling Shareholders,ORG,685,718,TP
Table_3_Row_2_Col_3_Para_0,0,the Offer for Sale,ORG,987,1005,TP
Table_3_Row_2_Col_3_Para_0,0,the Promoter Selling Shareholders,ORG,1156,1189,TP
Table_3_Row_2_Col_4_Para_0,0,Offer,ORG,184,189,TP
Table_3_Row_2_Col_4_Para_0,0,Offer,ORG,231,236,TP
Table_3_Row_2_Col_4_Para_0,0,the Promoter Selling Shareholders,ORG,685,718,TP
Table_3_Row_2_Col_4_Para_0,0,the Offer for Sale,ORG,987,1005,TP
Table_3_Row_2_Col_4_Para_0,0,the Promoter Selling Shareholders,ORG,1156,1189,TP
Table_3_Row_4_Col_0_Para_0,0,the BSE Limited,ORG,91,106,TP
Table_3_Row_4_Col_0_Para_0,0,BSE,ORG,109,112,TP
Table_3_Row_4_Col_0_Para_0,0,National Stock Exchange of India Limited,ORG,119,159,TP
Table_3_Row_4_Col_0_Para_0,0,BSE,ORG,182,185,TP
Table_3_Row_4_Col_0_Para_0,0,the “Stock Exchanges,ORG,187,207,TP
Table_3_Row_4_Col_0_Para_0,0,Offer,ORG,235,240,TP
Table_3_Row_4_Col_0_Para_0,0,the Designated Stock Exchange,ORG,242,271,TP
Table_3_Row_4_Col_0_Para_0,0,BSE,ORG,275,278,TP
Table_3_Row_4_Col_1_Para_0,0,the BSE Limited,ORG,91,106,TP
Table_3_Row_4_Col_1_Para_0,0,BSE,ORG,109,112,TP
Table_3_Row_4_Col_1_Para_0,0,National Stock Exchange of India Limited,ORG,119,159,TP
Table_3_Row_4_Col_1_Para_0,0,BSE,ORG,182,185,TP
Table_3_Row_4_Col_1_Para_0,0,the “Stock Exchanges,ORG,187,207,TP
Table_3_Row_4_Col_1_Para_0,0,Offer,ORG,235,240,TP
Table_3_Row_4_Col_1_Para_0,0,the Designated Stock Exchange,ORG,242,271,TP
Table_3_Row_4_Col_1_Para_0,0,BSE,ORG,275,278,TP
Table_3_Row_4_Col_2_Para_0,0,the BSE Limited,ORG,91,106,TP
Table_3_Row_4_Col_2_Para_0,0,BSE,ORG,109,112,TP
Table_3_Row_4_Col_2_Para_0,0,National Stock Exchange of India Limited,ORG,119,159,TP
Table_3_Row_4_Col_2_Para_0,0,BSE,ORG,182,185,TP
Table_3_Row_4_Col_2_Para_0,0,the “Stock Exchanges,ORG,187,207,TP
Table_3_Row_4_Col_2_Para_0,0,Offer,ORG,235,240,TP
Table_3_Row_4_Col_2_Para_0,0,the Designated Stock Exchange,ORG,242,271,TP
Table_3_Row_4_Col_2_Para_0,0,BSE,ORG,275,278,TP
Table_3_Row_4_Col_3_Para_0,0,the BSE Limited,ORG,91,106,TP
Table_3_Row_4_Col_3_Para_0,0,BSE,ORG,109,112,TP
Table_3_Row_4_Col_3_Para_0,0,National Stock Exchange of India Limited,ORG,119,159,TP
Table_3_Row_4_Col_3_Para_0,0,BSE,ORG,182,185,TP
Table_3_Row_4_Col_3_Para_0,0,the “Stock Exchanges,ORG,187,207,TP
Table_3_Row_4_Col_3_Para_0,0,Offer,ORG,235,240,TP
Table_3_Row_4_Col_3_Para_0,0,the Designated Stock Exchange,ORG,242,271,TP
Table_3_Row_4_Col_3_Para_0,0,BSE,ORG,275,278,TP
Table_3_Row_4_Col_4_Para_0,0,the BSE Limited,ORG,91,106,TP
Table_3_Row_4_Col_4_Para_0,0,BSE,ORG,109,112,TP
Table_3_Row_4_Col_4_Para_0,0,National Stock Exchange of India Limited,ORG,119,159,TP
Table_3_Row_4_Col_4_Para_0,0,BSE,ORG,182,185,TP
Table_3_Row_4_Col_4_Para_0,0,the “Stock Exchanges,ORG,187,207,TP
Table_3_Row_4_Col_4_Para_0,0,Offer,ORG,235,240,TP
Table_3_Row_4_Col_4_Para_0,0,the Designated Stock Exchange,ORG,242,271,TP
Table_3_Row_4_Col_4_Para_0,0,BSE,ORG,275,278,TP
Table_3_Row_7_Col_1_Para_0,0,"Wealth 
Management Limited",ORG,8,34,TP
Table_3_Row_7_Col_2_Para_0,0,Lokesh,PERSON,0,6,TP
Table_3_Row_7_Col_2_Para_0,0,Soumavo,ORG,15,22,TP
